premise,layer,head,factual%,cf%,delta
redefine,0,0,76.6,23.4,1.1160929473638534
redefine,0,1,74.6,25.4,1.008760194182396
redefine,0,2,76.2,23.8,1.165935705780983
redefine,0,3,76.2,23.8,1.1178391896486282
redefine,0,4,75.0,25.0,1.0658143330812455
redefine,0,5,75.4,24.6,1.1203796007633209
redefine,0,6,76.6,23.4,1.1402737741470337
redefine,0,7,78.0,22.0,1.1806874861717225
redefine,0,8,77.0,23.0,1.1111038302183152
redefine,0,9,77.8,22.2,1.1701201044321061
redefine,0,10,77.2,22.8,1.1825126973390578
redefine,0,11,75.6,24.4,1.0762491495609283
redefine,1,0,77.4,22.6,1.1623775001764298
redefine,1,1,76.8,23.2,1.1564616953134537
redefine,1,2,75.8,24.2,1.0967795367240907
redefine,1,3,75.6,24.4,1.088896363258362
redefine,1,4,77.0,23.0,1.1243403251171111
redefine,1,5,76.2,23.8,1.1055874452590941
redefine,1,6,76.0,24.0,1.1167734026908875
redefine,1,7,76.0,24.0,1.0726759320497512
redefine,1,8,76.6,23.4,1.1284049462080001
redefine,1,9,77.4,22.6,1.1238088705539704
redefine,1,10,76.8,23.2,1.1327942008972167
redefine,1,11,76.2,23.8,1.0840228751897811
redefine,2,0,78.2,21.8,1.1297512187957763
redefine,2,1,77.0,23.0,1.141088052034378
redefine,2,2,76.4,23.6,1.0940736796855925
redefine,2,3,76.2,23.8,1.1009042885303497
redefine,2,4,75.6,24.4,1.050690071105957
redefine,2,5,75.6,24.4,1.0686563448905946
redefine,2,6,76.6,23.4,1.1059605749845505
redefine,2,7,75.8,24.2,1.0616717746257782
redefine,2,8,75.4,24.6,1.0607872148752213
redefine,2,9,77.4,22.6,1.1298630080223084
redefine,2,10,76.6,23.4,1.0864425716400146
redefine,2,11,75.6,24.4,1.056339555978775
redefine,3,0,77.0,23.0,1.1040502034425737
redefine,3,1,76.2,23.8,1.0979887081384658
redefine,3,2,76.8,23.2,1.102642477273941
redefine,3,3,77.8,22.2,1.165271033167839
redefine,3,4,76.8,23.2,1.097439469218254
redefine,3,5,76.8,23.2,1.1634845935106277
