premise,layer,head,factual%,cf%,delta
redefine,9,3,71.4,28.6,0.8324603105783462
redefine,9,4,73.4,26.6,0.868841166973114
redefine,9,5,73.2,26.8,0.8437841167449951
redefine,9,6,73.0,27.0,0.9084617341756821
redefine,9,7,73.2,26.8,0.8694675904512406
redefine,9,8,72.8,27.2,0.8337351858615876
redefine,9,9,73.0,27.0,0.8578809471130371
redefine,9,10,74.2,25.8,0.9084082686901093
redefine,9,11,72.4,27.6,0.8045538630485535
redefine,10,0,72.0,28.0,0.7852829459905625
redefine,10,1,71.8,28.2,0.8003786603212356
redefine,10,2,73.0,27.0,0.8396497957706451
redefine,10,3,71.8,28.2,0.7835997611284256
redefine,10,4,73.8,26.2,0.8771280363798142
redefine,10,5,72.8,27.2,0.8117267864942551
redefine,10,6,72.4,27.6,0.8654761955738067
redefine,10,7,72.4,27.6,0.8238719717264176
redefine,10,8,73.2,26.8,0.8223790884017944
redefine,10,9,72.6,27.4,0.7946176135540008
redefine,10,10,73.2,26.8,0.8670204766988754
redefine,10,11,72.4,27.6,0.810383253455162
redefine,11,0,72.8,27.2,0.8284512323141098
redefine,11,1,71.4,28.6,0.847468445777893
redefine,11,2,72.4,27.6,0.8215914536714554
redefine,11,3,73.8,26.2,0.8296194958686829
redefine,11,4,72.8,27.2,0.846815225481987
redefine,11,5,72.0,28.0,0.8235913988351822
redefine,11,6,72.8,27.2,0.8455655862092972
redefine,11,7,72.2,27.8,0.8287260855436325
redefine,11,8,73.2,26.8,0.8383692294359207
redefine,11,9,72.8,27.2,0.837079451918602
redefine,11,10,73.0,27.0,0.836866547703743
redefine,11,11,72.6,27.4,0.8357913528680802
define,0,0,72.6,27.4,0.8501900510787964
define,0,1,71.8,28.2,0.7565046401023865
define,0,2,73.6,26.4,0.910614117860794
define,0,3,72.2,27.8,0.8591729432344437
define,0,4,71.8,28.2,0.8090694700479507
define,0,5,73.0,27.0,0.8399825568199157
define,0,6,73.2,26.8,0.8645061627626419
define,0,7,73.2,26.8,0.877346602678299
define,0,8,72.0,28.0,0.8410819746255874
define,0,9,73.8,26.2,0.9029453409910202
define,0,10,74.0,26.0,0.9000199255943299
define,0,11,73.0,27.0,0.8577676019668579
define,1,0,73.6,26.4,0.8950177035331726
define,1,1,72.4,27.6,0.8723885029554367
define,1,2,72.8,27.2,0.8408924394845962
define,1,3,72.6,27.4,0.8320186557769775
define,1,4,73.4,26.6,0.8746544373035431
define,1,5,72.4,27.6,0.8511315187215805
define,1,6,73.0,27.0,0.8481156332492829
define,1,7,72.8,27.2,0.8247819254398346
define,1,8,72.6,27.4,0.8542710479497909
define,1,9,73.2,26.8,0.8663041566610337
define,1,10,72.2,27.8,0.8474019092321395
define,1,11,72.6,27.4,0.8136187987327576
define,2,0,72.6,27.4,0.8375289158821106
define,2,1,72.6,27.4,0.8636407573223114
define,2,2,72.6,27.4,0.8224066728353501
define,2,3,73.2,26.8,0.8305283148288727
define,2,4,72.6,27.4,0.8015139750242233
define,2,5,72.8,27.2,0.7892288391590119
define,2,6,72.8,27.2,0.8567479053735733
define,2,7,73.2,26.8,0.7998292070627212
define,2,8,72.0,28.0,0.8123811784982681
define,2,9,73.6,26.4,0.8755396246910095
define,2,10,72.4,27.6,0.8236090027093887
define,2,11,71.8,28.2,0.7793222358226776
define,3,0,72.4,27.6,0.8299528130292892
define,3,1,73.2,26.8,0.8317784736156464
define,3,2,72.6,27.4,0.8173264636993408
define,3,3,74.0,26.0,0.8915527807474136
define,3,4,73.8,26.2,0.8562465020418167
define,3,5,73.2,26.8,0.8838807617425919
define,3,6,72.6,27.4,0.8161713918447494
define,3,7,73.6,26.4,0.8623113453388214
define,3,8,73.0,27.0,0.8501676808595657
define,3,9,73.0,27.0,0.8449705946445465
define,3,10,73.4,26.6,0.8693468869924545
define,3,11,70.2,29.8,0.7240794851779938
define,4,0,71.2,28.8,0.7779756789207458
define,4,1,72.2,27.8,0.8153076511621475
define,4,2,73.2,26.8,0.8362247335910797
define,4,3,72.8,27.2,0.8344241786003113
define,4,4,72.0,28.0,0.8480817263126373
define,4,5,72.4,27.6,0.8282204910516738
define,4,6,74.6,25.4,0.9184308326244355
define,4,7,73.6,26.4,0.8696296486854553
define,4,8,74.6,25.4,0.9017406568527222
define,4,9,71.4,28.6,0.733976578950882
define,4,10,72.8,27.2,0.8677985084056854
define,4,11,72.8,27.2,0.8472498408555984
define,5,0,71.8,28.2,0.7800064779520035
define,5,1,73.8,26.2,0.8857926372289657
define,5,2,73.2,26.8,0.8424725340604782
define,5,3,72.6,27.4,0.8005508126020432
define,5,4,73.2,26.8,0.863128561258316
define,5,5,72.2,27.8,0.7964851356744767
define,5,6,73.2,26.8,0.8539037507772446
define,5,7,72.8,27.2,0.8428166525363923
define,5,8,74.0,26.0,0.9065924761295319
define,5,9,72.6,27.4,0.8410760740041733
define,5,10,73.6,26.4,0.8861194572448731
define,5,11,71.8,28.2,0.7812961605787277
define,6,0,73.0,27.0,0.8635400211811066
define,6,1,73.8,26.2,0.8971838806867599
define,6,2,74.2,25.8,0.8914278606176377
define,6,3,71.8,28.2,0.7965991493463517
define,6,4,71.6,28.4,0.7831460409164429
define,6,5,73.6,26.4,0.8520840072631836
define,6,6,74.0,26.0,0.8862419422864914
define,6,7,73.0,27.0,0.8606604619026184
define,6,8,75.2,24.8,0.9263004274368286
define,6,9,73.0,27.0,0.8348078279495239
define,6,10,71.2,28.8,0.7707935001850128
define,6,11,73.2,26.8,0.8722681461572647
define,7,0,72.4,27.6,0.8849135395288468
define,7,1,72.2,27.8,0.8223478558063507
define,7,2,73.4,26.6,0.8634717483520508
define,7,3,73.4,26.6,0.8934486852884292
define,7,4,71.6,28.4,0.7976960014104844
define,7,5,72.8,27.2,0.828826463341713
define,7,6,74.2,25.8,0.9042709735631943
define,7,7,72.6,27.4,0.8549833362102508
define,7,8,74.0,26.0,0.8728490599393844
define,7,9,72.6,27.4,0.8748817102909088
define,7,10,72.2,27.8,0.8558929899930954
define,7,11,71.4,28.6,0.7495535037517548
define,8,0,70.8,29.2,0.7758695672750473
define,8,1,73.8,26.2,0.869895205616951
define,8,2,70.6,29.4,0.7696955572366715
define,8,3,71.4,28.6,0.7565682225227356
define,8,4,72.2,27.8,0.8515729050636291
define,8,5,73.6,26.4,0.9289737280607223
define,8,6,73.8,26.2,0.8831993622779846
define,8,7,73.2,26.8,0.862480058312416
define,8,8,72.6,27.4,0.8297585465908051
define,8,9,72.0,28.0,0.7939918020963669
define,8,10,73.2,26.8,0.938811032295227
define,8,11,72.0,28.0,0.7439443213939667
define,9,0,73.2,26.8,0.8395304538011551
define,9,1,73.0,27.0,0.8960532940626145
define,9,2,73.2,26.8,0.875110317826271
define,9,3,71.4,28.6,0.8324603105783462
define,9,4,73.4,26.6,0.868841166973114
define,9,5,73.2,26.8,0.8437841167449951
define,9,6,73.0,27.0,0.9084617341756821
define,9,7,73.2,26.8,0.8694675904512406
define,9,8,72.8,27.2,0.8337351858615876
define,9,9,73.0,27.0,0.8578809471130371
define,9,10,74.2,25.8,0.9084082686901093
define,9,11,72.4,27.6,0.8045538630485535
define,10,0,72.0,28.0,0.7852829459905625
define,10,1,71.8,28.2,0.8003786603212356
define,10,2,73.0,27.0,0.8396497957706451
define,10,3,71.8,28.2,0.7835997611284256
define,10,4,73.8,26.2,0.8771280363798142
define,10,5,72.8,27.2,0.8117267864942551
define,10,6,72.4,27.6,0.8654761955738067
define,10,7,72.4,27.6,0.8238719717264176
define,10,8,73.2,26.8,0.8223790884017944
define,10,9,72.6,27.4,0.7946176135540008
define,10,10,73.2,26.8,0.8670204766988754
define,10,11,72.4,27.6,0.810383253455162
define,11,0,72.8,27.2,0.8284512323141098
define,11,1,71.4,28.6,0.847468445777893
define,11,2,72.4,27.6,0.8215914536714554
define,11,3,73.8,26.2,0.8296194958686829
define,11,4,72.8,27.2,0.846815225481987
define,11,5,72.0,28.0,0.8235913988351822
define,11,6,72.8,27.2,0.8455655862092972
define,11,7,72.2,27.8,0.8287260855436325
define,11,8,73.2,26.8,0.8383692294359207
define,11,9,72.8,27.2,0.837079451918602
define,11,10,73.0,27.0,0.836866547703743
define,11,11,72.6,27.4,0.8357913528680802
verify,0,0,72.6,27.4,0.8501900510787964
verify,0,1,71.8,28.2,0.7565046401023865
verify,0,2,73.6,26.4,0.910614117860794
verify,0,3,72.2,27.8,0.8591729432344437
verify,0,4,71.8,28.2,0.8090694700479507
verify,0,5,73.0,27.0,0.8399825568199157
verify,0,6,73.2,26.8,0.8645061627626419
verify,0,7,73.2,26.8,0.877346602678299
verify,0,8,72.0,28.0,0.8410819746255874
verify,0,9,73.8,26.2,0.9029453409910202
verify,0,10,74.0,26.0,0.9000199255943299
verify,0,11,73.0,27.0,0.8577676019668579
verify,1,0,73.6,26.4,0.8950177035331726
verify,1,1,72.4,27.6,0.8723885029554367
verify,1,2,72.8,27.2,0.8408924394845962
verify,1,3,72.6,27.4,0.8320186557769775
verify,1,4,73.4,26.6,0.8746544373035431
verify,1,5,72.4,27.6,0.8511315187215805
verify,1,6,73.0,27.0,0.8481156332492829
verify,1,7,72.8,27.2,0.8247819254398346
verify,1,8,72.6,27.4,0.8542710479497909
verify,1,9,73.2,26.8,0.8663041566610337
verify,1,10,72.2,27.8,0.8474019092321395
verify,1,11,72.6,27.4,0.8136187987327576
verify,2,0,72.6,27.4,0.8375289158821106
verify,2,1,72.6,27.4,0.8636407573223114
verify,2,2,72.6,27.4,0.8224066728353501
verify,2,3,73.2,26.8,0.8305283148288727
verify,2,4,72.6,27.4,0.8015139750242233
verify,2,5,72.8,27.2,0.7892288391590119
verify,2,6,72.8,27.2,0.8567479053735733
verify,2,7,73.2,26.8,0.7998292070627212
verify,2,8,72.0,28.0,0.8123811784982681
verify,2,9,73.6,26.4,0.8755396246910095
verify,2,10,72.4,27.6,0.8236090027093887
verify,2,11,71.8,28.2,0.7793222358226776
verify,3,0,72.4,27.6,0.8299528130292892
verify,3,1,73.2,26.8,0.8317784736156464
verify,3,2,72.6,27.4,0.8173264636993408
verify,3,3,74.0,26.0,0.8915527807474136
verify,3,4,73.8,26.2,0.8562465020418167
verify,3,5,73.2,26.8,0.8838807617425919
verify,3,6,72.6,27.4,0.8161713918447494
verify,3,7,73.6,26.4,0.8623113453388214
verify,3,8,73.0,27.0,0.8501676808595657
verify,3,9,73.0,27.0,0.8449705946445465
verify,3,10,73.4,26.6,0.8693468869924545
verify,3,11,70.2,29.8,0.7240794851779938
verify,4,0,71.2,28.8,0.7779756789207458
verify,4,1,72.2,27.8,0.8153076511621475
verify,4,2,73.2,26.8,0.8362247335910797
verify,4,3,72.8,27.2,0.8344241786003113
verify,4,4,72.0,28.0,0.8480817263126373
verify,4,5,72.4,27.6,0.8282204910516738
verify,4,6,74.6,25.4,0.9184308326244355
verify,4,7,73.6,26.4,0.8696296486854553
verify,4,8,74.6,25.4,0.9017406568527222
verify,4,9,71.4,28.6,0.733976578950882
verify,4,10,72.8,27.2,0.8677985084056854
verify,4,11,72.8,27.2,0.8472498408555984
verify,5,0,71.8,28.2,0.7800064779520035
verify,5,1,73.8,26.2,0.8857926372289657
verify,5,2,73.2,26.8,0.8424725340604782
verify,5,3,72.6,27.4,0.8005508126020432
verify,5,4,73.2,26.8,0.863128561258316
verify,5,5,72.2,27.8,0.7964851356744767
verify,5,6,73.2,26.8,0.8539037507772446
