premise,layer,head,factual%,cf%,delta
redefine,0,0,72.0,28.0,0.8852415239810943
redefine,0,1,69.8,30.2,0.7490121943950653
redefine,0,2,72.2,27.8,0.894600117444992
redefine,0,3,71.6,28.4,0.8253134660720826
redefine,0,4,70.4,29.6,0.7474274899959564
redefine,0,5,71.2,28.8,0.7449558193683624
redefine,0,6,71.2,28.8,0.7759143248796463
redefine,0,7,72.2,27.8,0.8503227721452713
redefine,0,8,71.0,29.0,0.8294410415887833
redefine,0,9,72.2,27.8,0.8540895198583602
redefine,0,10,72.0,28.0,0.8455044909715652
redefine,0,11,70.6,29.4,0.7699705021381378
redefine,1,0,71.8,28.2,0.8379989798069001
redefine,1,1,71.0,29.0,0.7880133088827134
redefine,1,2,71.8,28.2,0.8400950912237167
redefine,1,3,71.6,28.4,0.8305619795322419
redefine,1,4,71.4,28.6,0.7914393450021744
redefine,1,5,72.0,28.0,0.8202698950767517
redefine,1,6,71.6,28.4,0.8296516751050949
redefine,1,7,70.4,29.6,0.7234373481273652
redefine,1,8,71.4,28.6,0.7964147474765778
redefine,1,9,71.8,28.2,0.8226879994869232
redefine,1,10,72.0,28.0,0.8372287262678146
redefine,1,11,71.4,28.6,0.8052344094514847
redefine,2,0,71.8,28.2,0.8249901010990143
redefine,2,1,71.0,29.0,0.7984645941257477
redefine,2,2,71.6,28.4,0.7770799494981766
redefine,2,3,71.0,29.0,0.8059518126249313
redefine,2,4,71.2,28.8,0.7666952500343323
redefine,2,5,71.0,29.0,0.7688379164934158
redefine,2,6,70.6,29.4,0.777312161564827
redefine,2,7,69.4,30.6,0.6983924118280411
redefine,2,8,69.8,30.2,0.7270042980909348
redefine,2,9,71.4,28.6,0.797552502989769
redefine,2,10,70.8,29.2,0.7680452102422715
redefine,2,11,70.6,29.4,0.7600920392274857
redefine,3,0,71.4,28.6,0.8016812409162521
redefine,3,1,71.2,28.8,0.7856751891374588
redefine,3,2,71.6,28.4,0.7885082967281342
redefine,3,3,71.6,28.4,0.8333704906702042
redefine,3,4,71.6,28.4,0.8337552223205567
redefine,3,5,71.8,28.2,0.8347611812353134
redefine,3,6,71.0,29.0,0.7870619632005692
redefine,3,7,70.6,29.4,0.7781615433692932
redefine,3,8,70.4,29.6,0.7876619505882263
redefine,3,9,71.6,28.4,0.8256307983398438
redefine,3,10,71.8,28.2,0.8392140439748764
redefine,3,11,70.4,29.6,0.7500084294080734
redefine,4,0,71.4,28.6,0.7454443951845169
redefine,4,1,71.0,29.0,0.7418752717971802
redefine,4,2,70.8,29.2,0.7925271117687225
redefine,4,3,70.8,29.2,0.7649195263385773
redefine,4,4,71.0,29.0,0.7639810301065445
