premise,layer,head,factual%,cf%,delta
redefine,9,4,75.4,24.6,1.153264145731926
redefine,9,5,75.6,24.4,1.1266931545734407
redefine,9,6,75.4,24.6,1.1662041797637939
redefine,9,7,74.8,25.2,1.1479663825035096
redefine,9,8,76.2,23.8,1.1185480709075928
redefine,9,9,75.6,24.4,1.1268074309825897
redefine,9,10,75.4,24.6,1.1929930365085601
redefine,9,11,74.6,25.4,1.0910737278461455
redefine,10,0,74.0,26.0,1.0697934277057648
redefine,10,1,74.6,25.4,1.0845502457618714
redefine,10,2,75.2,24.8,1.117066794037819
redefine,10,3,74.0,26.0,1.0719554597139358
redefine,10,4,76.2,23.8,1.1563192181587219
redefine,10,5,75.4,24.6,1.0976256804466247
redefine,10,6,75.6,24.4,1.1413968609571457
redefine,10,7,73.8,26.2,1.1096486443281173
redefine,10,8,76.0,24.0,1.0953093050718308
redefine,10,9,75.0,25.0,1.0768411648273468
redefine,10,10,75.0,25.0,1.1425120459794997
redefine,10,11,73.8,26.2,1.0907024564743042
redefine,11,0,75.0,25.0,1.107116238117218
redefine,11,1,74.8,25.2,1.1276050612926483
redefine,11,2,74.2,25.8,1.0995532621145248
redefine,11,3,75.4,24.6,1.1106383665800095
redefine,11,4,75.2,24.8,1.1273922773599625
redefine,11,5,75.0,25.0,1.1011463820934295
redefine,11,6,74.8,25.2,1.125150503396988
redefine,11,7,74.8,25.2,1.1028136993646622
redefine,11,8,75.0,25.0,1.1200111348628998
redefine,11,9,74.4,25.6,1.1188017411231994
redefine,11,10,74.8,25.2,1.1217755824327469
redefine,11,11,75.0,25.0,1.1165981794595718
define,0,0,75.4,24.6,1.1738381150960921
define,0,1,73.6,26.4,1.0943542773723602
define,0,2,75.2,24.8,1.1656699894666671
define,0,3,74.6,25.4,1.138343347787857
define,0,4,74.6,25.4,1.101196632027626
define,0,5,75.6,24.4,1.182893921494484
define,0,6,75.0,25.0,1.1677036556005478
define,0,7,76.2,23.8,1.1973355145454407
define,0,8,75.2,24.8,1.1394231852293015
define,0,9,74.8,25.2,1.1941485576629638
define,0,10,76.0,24.0,1.1804789253473282
define,0,11,74.8,25.2,1.106173638343811
define,1,0,75.2,24.8,1.1800613003969191
define,1,1,76.0,24.0,1.1620002360343933
define,1,2,75.2,24.8,1.1363702154159545
define,1,3,75.6,24.4,1.1602191596031188
define,1,4,76.0,24.0,1.1780248118638992
define,1,5,74.8,25.2,1.115751540541649
define,1,6,75.8,24.2,1.158019308924675
define,1,7,74.6,25.4,1.090250871181488
define,1,8,74.6,25.4,1.118982528090477
define,1,9,75.2,24.8,1.1421104338169097
define,1,10,75.4,24.6,1.1598013657331467
define,1,11,75.2,24.8,1.1136115847826005
define,2,0,75.4,24.6,1.0990234897136688
define,2,1,75.6,24.4,1.1621095478534698
define,2,2,75.2,24.8,1.1027692310810089
define,2,3,75.6,24.4,1.1292754774093627
define,2,4,74.8,25.2,1.1017640155553818
define,2,5,74.4,25.6,1.0508716107606888
define,2,6,74.6,25.4,1.1254739799499511
define,2,7,73.4,26.6,1.0197149229049682
define,2,8,74.0,26.0,1.10019606256485
define,2,9,76.0,24.0,1.1726052839756012
define,2,10,74.8,25.2,1.0664172686338425
define,2,11,74.4,25.6,1.061541467308998
define,3,0,74.2,25.8,1.0842437542676926
define,3,1,75.2,24.8,1.1395526065826416
define,3,2,75.4,24.6,1.1028879067897797
define,3,3,75.6,24.4,1.1811452487707137
define,3,4,75.6,24.4,1.1222274827957153
define,3,5,74.0,26.0,1.1216208859682084
define,3,6,74.4,25.6,1.0654141715765
define,3,7,73.6,26.4,1.08088110601902
define,3,8,74.2,25.8,1.0896887716054917
define,3,9,75.6,24.4,1.1661555660963059
define,3,10,74.8,25.2,1.1347265158891677
define,3,11,73.8,26.2,1.0319843114614486
define,4,0,72.6,27.4,0.9610064803361893
define,4,1,73.4,26.6,1.063558236837387
define,4,2,74.8,25.2,1.1067614215612411
define,4,3,74.2,25.8,1.0850964710712432
define,4,4,74.4,25.6,1.112584197163582
define,4,5,74.8,25.2,1.1352141296863556
define,4,6,76.2,23.8,1.1705298702716826
define,4,7,74.4,25.6,1.107079150557518
define,4,8,75.6,24.4,1.1324765955209732
define,4,9,73.2,26.8,1.0109640892744065
