premise,layer,head,factual%,cf%,delta
redefine,0,0,73.2,26.8,0.9970704420804978
redefine,0,1,72.8,27.2,0.9208878687620163
redefine,0,2,73.8,26.2,0.9955470939874649
redefine,0,3,73.4,26.6,0.9833018559217453
redefine,0,4,72.2,27.8,0.9480658544301986
redefine,0,5,73.8,26.2,0.9599782354831695
redefine,0,6,73.8,26.2,0.9600770270824432
redefine,0,7,73.8,26.2,0.9666587188243866
redefine,0,8,73.6,26.4,0.9448227421045303
redefine,0,9,73.6,26.4,1.04535085606575
redefine,0,10,72.6,27.4,0.9510246051549911
redefine,0,11,72.4,27.6,0.9381426006555558
redefine,1,0,73.8,26.2,1.013185037255287
redefine,1,1,73.2,26.8,0.9744734658002854
redefine,1,2,73.0,27.0,0.9620820380449295
redefine,1,3,73.4,26.6,0.9598763213157654
redefine,1,4,74.6,25.4,1.002166143298149
redefine,1,5,73.2,26.8,0.9648485387563706
redefine,1,6,73.2,26.8,0.9722544020414352
redefine,1,7,72.4,27.6,0.9006458923816681
redefine,1,8,73.4,26.6,0.9708609886169434
redefine,1,9,73.4,26.6,0.9752174673080445
redefine,1,10,73.6,26.4,0.9772397302389145
redefine,1,11,72.6,27.4,0.919396639585495
redefine,2,0,73.8,26.2,0.9562011096477508
redefine,2,1,74.4,25.6,0.9969969716072082
redefine,2,2,73.2,26.8,0.9380821964740753
redefine,2,3,73.2,26.8,0.9772418782711029
redefine,2,4,72.8,27.2,0.9169766476154327
redefine,2,5,72.4,27.6,0.9144470440149307
redefine,2,6,73.2,26.8,0.9775399450063705
redefine,2,7,71.6,28.4,0.8684693621397018
redefine,2,8,72.2,27.8,0.9197647219896317
redefine,2,9,74.0,26.0,1.017372069478035
redefine,2,10,73.2,26.8,0.9527800161838531
redefine,2,11,71.6,28.4,0.8799251973628998
redefine,3,0,73.0,27.0,0.9466800947189331
redefine,3,1,73.6,26.4,0.9831773285865784
redefine,3,2,73.4,26.6,0.9248270423412323
redefine,3,3,72.6,27.4,0.9828262324333191
redefine,3,4,73.4,26.6,0.9695044831037521
redefine,3,5,73.0,27.0,0.9913428084850311
redefine,3,6,72.8,27.2,0.9337707082033158
redefine,3,7,73.2,26.8,0.9385737570524215
redefine,3,8,72.4,27.6,0.9254717870950698
redefine,3,9,73.8,26.2,0.9900729435682297
redefine,3,10,73.2,26.8,0.9841112192869187
redefine,3,11,72.0,28.0,0.8623332040309906
redefine,4,0,71.0,29.0,0.8042420992851257
redefine,4,1,71.4,28.6,0.8759279423952102
redefine,4,2,73.2,26.8,0.9286487114429474
redefine,4,3,71.6,28.4,0.9144375448226929
redefine,4,4,72.6,27.4,0.9139112728834152
redefine,4,5,73.4,26.6,0.9802063113451004
redefine,4,6,74.2,25.8,1.0334742596149444
redefine,4,7,73.6,26.4,0.9297266401052475
redefine,4,8,73.2,26.8,0.9600889892578125
redefine,4,9,71.2,28.8,0.8533216012716294
redefine,4,10,73.6,26.4,1.0038712924718858
redefine,4,11,73.2,26.8,0.9549714382886887
redefine,5,0,72.8,27.2,0.9115565792322159
redefine,5,1,74.0,26.0,0.9987643443346024
redefine,5,2,73.6,26.4,0.9575034942626953
redefine,5,3,73.0,27.0,0.9206942938566208
redefine,5,4,73.6,26.4,0.9817618033885955
redefine,5,5,72.4,27.6,0.8963002951145173
redefine,5,6,73.0,27.0,0.9650094854831696
redefine,5,7,73.4,26.6,0.9556397225856781
redefine,5,8,74.8,25.2,1.015839997291565
redefine,5,9,72.8,27.2,0.9513685122728348
redefine,5,10,74.4,25.6,1.0270296429395676
redefine,5,11,72.0,28.0,0.8853617539405823
redefine,6,0,73.4,26.6,0.9584077680110932
redefine,6,1,74.6,25.4,1.0203614313602447
redefine,6,2,74.0,26.0,1.0113629071712493
redefine,6,3,71.8,28.2,0.8875663582086563
redefine,6,4,72.0,28.0,0.8983674037456513
redefine,6,5,73.2,26.8,0.909563512802124
redefine,6,6,73.8,26.2,0.9909581818580627
redefine,6,7,73.6,26.4,0.9623251544237137
redefine,6,8,74.0,26.0,1.0231444432735444
redefine,6,9,74.0,26.0,0.9500266321897507
redefine,6,10,72.2,27.8,0.8882057985067368
redefine,6,11,73.8,26.2,0.9584818172454834
redefine,7,0,73.6,26.4,0.9793147779703141
redefine,7,1,73.4,26.6,0.9376690911054611
redefine,7,2,74.2,25.8,0.9731934561729431
redefine,7,3,74.2,25.8,0.9998480604887009
redefine,7,4,73.0,27.0,0.9102078557014466
redefine,7,5,72.6,27.4,0.9161466081142425
redefine,7,6,74.4,25.6,0.9898737725019455
redefine,7,7,72.8,27.2,0.9660388915538788
redefine,7,8,73.6,26.4,0.984265151143074
redefine,7,9,73.6,26.4,0.9728572360277176
redefine,7,10,73.2,26.8,0.9822902793884277
redefine,7,11,72.0,28.0,0.8832324452400208
redefine,8,0,72.2,27.8,0.9057853254079818
redefine,8,1,72.6,27.4,0.9717609133720398
redefine,8,2,72.4,27.6,0.9109801820516586
redefine,8,3,71.4,28.6,0.8669733058214187
redefine,8,4,74.0,26.0,0.9647989109754562
redefine,8,5,74.0,26.0,1.0143757984638213
redefine,8,6,74.2,25.8,0.9607182730436326
redefine,8,7,73.4,26.6,0.9976377745866776
redefine,8,8,73.2,26.8,0.9508862999677659
redefine,8,9,72.4,27.6,0.9261232467889786
redefine,8,10,74.4,25.6,1.0493774880170823
redefine,8,11,73.2,26.8,0.8898023872375488
redefine,9,0,73.6,26.4,0.9815177960395813
redefine,9,1,73.6,26.4,1.0094340294599533
redefine,9,2,73.2,26.8,0.9993255743980408
redefine,9,3,72.4,27.6,0.9396124721765519
redefine,9,4,73.4,26.6,0.9836916553974152
redefine,9,5,73.4,26.6,0.9523909953832627
redefine,9,6,73.4,26.6,1.02364459502697
redefine,9,7,73.4,26.6,0.9779521961212159
redefine,9,8,73.2,26.8,0.9543554508686065
redefine,9,9,74.0,26.0,0.9588153778314591
