premise,layer,head,factual%,cf%,delta
redefine,0,0,98.2,1.8,5.0622164258956905
redefine,0,1,98.4,1.6,4.97101350903511
redefine,0,2,98.2,1.8,5.00817806494236
redefine,0,3,98.4,1.6,5.011402776360511
redefine,0,4,98.2,1.8,5.033704963684082
redefine,0,5,98.2,1.8,4.948474267363548
redefine,0,6,98.4,1.6,4.950060984373093
redefine,0,7,98.4,1.6,5.0086435185670855
redefine,0,8,98.4,1.6,5.042917061567307
redefine,0,9,98.4,1.6,5.0269904128313065
redefine,0,10,98.4,1.6,5.057175881981849
redefine,0,11,98.4,1.6,4.986943564414978
redefine,1,0,98.4,1.6,4.9656146388053894
redefine,1,1,98.4,1.6,4.973117180943489
redefine,1,2,98.4,1.6,5.043854254245758
redefine,1,3,98.4,1.6,5.00454497718811
redefine,1,4,98.4,1.6,4.973290573596954
redefine,1,5,98.4,1.6,5.04487996339798
redefine,1,6,98.4,1.6,5.024625803470611
redefine,1,7,98.4,1.6,4.977303264260292
redefine,1,8,98.4,1.6,4.993929926872253
redefine,1,9,98.4,1.6,5.042423449039459
redefine,1,10,98.4,1.6,5.037117837429046
redefine,1,11,98.4,1.6,5.008166436314583
redefine,2,0,98.2,1.8,4.939240006089211
redefine,2,1,98.4,1.6,4.994964081406593
redefine,2,2,98.4,1.6,5.029244989871978
redefine,2,3,98.4,1.6,4.956587885737419
redefine,2,4,98.4,1.6,4.981390109419823
redefine,2,5,98.4,1.6,5.006126286029816
redefine,2,6,98.2,1.8,4.988416162967682
redefine,2,7,98.4,1.6,4.940784147620201
redefine,2,8,98.4,1.6,4.986370529890061
redefine,2,9,98.4,1.6,5.01216010594368
redefine,2,10,98.4,1.6,4.9933632296323776
redefine,2,11,98.4,1.6,5.011491091251373
redefine,3,0,98.4,1.6,4.9614755163192745
redefine,3,1,98.4,1.6,4.951610219597817
redefine,3,2,98.4,1.6,4.9634307688474655
redefine,3,3,98.4,1.6,4.958937458276749
redefine,3,4,98.4,1.6,4.977499573588371
redefine,3,5,98.4,1.6,5.054157974720002
redefine,3,6,98.4,1.6,5.045402130961418
redefine,3,7,98.4,1.6,4.95042386341095
redefine,3,8,98.4,1.6,4.956666337609291
redefine,3,9,98.2,1.8,5.0412678014039995
redefine,3,10,98.4,1.6,4.987818338751793
redefine,3,11,98.4,1.6,5.015825216293335
redefine,4,0,98.4,1.6,4.97291260445118
redefine,4,1,98.4,1.6,4.983156444311142
redefine,4,2,98.4,1.6,4.965202020168304
redefine,4,3,98.4,1.6,4.9720769515037535
redefine,4,4,98.4,1.6,4.987885176181793
redefine,4,5,98.2,1.8,4.982005370378494
redefine,4,6,98.4,1.6,5.014613300442695
redefine,4,7,98.4,1.6,4.97388998401165
redefine,4,8,98.4,1.6,4.954110617756844
redefine,4,9,98.4,1.6,4.987603928804398
redefine,4,10,98.4,1.6,5.0289537056684495
redefine,4,11,98.4,1.6,5.038285103440285
redefine,5,0,98.4,1.6,4.977157334089279
redefine,5,1,98.4,1.6,4.990710795640945
redefine,5,2,98.4,1.6,4.948102739691734
redefine,5,3,98.4,1.6,4.949313238501548
redefine,5,4,98.4,1.6,5.016255235910416
redefine,5,5,98.6,1.4,4.939350535869599
redefine,5,6,98.4,1.6,4.99449453663826
redefine,5,7,98.4,1.6,4.983680983781815
redefine,5,8,98.4,1.6,4.9585238032341
redefine,5,9,98.4,1.6,4.973550694823265
redefine,5,10,98.4,1.6,4.99317349088192
redefine,5,11,98.4,1.6,4.968747960090637
redefine,6,0,98.4,1.6,4.981949986577034
redefine,6,1,98.4,1.6,4.991151591658592
redefine,6,2,98.4,1.6,4.934396231532097
redefine,6,3,98.4,1.6,5.025853111028671
redefine,6,4,98.4,1.6,4.977504273533821
redefine,6,5,98.4,1.6,4.925780874252319
redefine,6,6,98.4,1.6,4.982572971105576
redefine,6,7,98.4,1.6,4.990275890231133
redefine,6,8,98.4,1.6,5.020622737526893
redefine,6,9,98.4,1.6,4.973202534794807
redefine,6,10,98.4,1.6,4.971426274418831
redefine,6,11,98.2,1.8,4.910509896397591
redefine,7,0,98.4,1.6,5.001391082406044
redefine,7,1,98.4,1.6,5.020922129392624
redefine,7,2,98.4,1.6,4.976195432186127
redefine,7,3,98.4,1.6,5.008524176359177
redefine,7,4,98.4,1.6,5.019789080023766
redefine,7,5,98.4,1.6,4.947417003273964
redefine,7,6,98.6,1.4,5.044617615103721
redefine,7,7,98.2,1.8,5.014022411227226
redefine,7,8,98.4,1.6,5.027821830511093
redefine,7,9,98.2,1.8,5.004926015496254
redefine,7,10,98.4,1.6,5.0357587751150135
redefine,7,11,98.4,1.6,4.932967842817306
redefine,8,0,98.4,1.6,4.984136666536331
redefine,8,1,98.4,1.6,5.011034107327461
redefine,8,2,98.4,1.6,4.999209435820579
redefine,8,3,98.4,1.6,4.973615781664848
redefine,8,4,98.4,1.6,4.952476651787758
redefine,8,5,98.4,1.6,4.977839046359062
redefine,8,6,98.4,1.6,4.965192012310028
redefine,8,7,98.4,1.6,5.005182207822799
redefine,8,8,98.4,1.6,4.970795253276825
redefine,8,9,98.4,1.6,5.001605142116547
redefine,8,10,98.4,1.6,4.94520208132267
redefine,8,11,98.4,1.6,4.997178183674812
redefine,9,0,98.4,1.6,4.985077836155892
redefine,9,1,98.2,1.8,4.9821273242235184
redefine,9,2,98.4,1.6,4.995052693009376
redefine,9,3,98.4,1.6,4.98288965022564
redefine,9,4,98.4,1.6,4.983140649437904
redefine,9,5,98.4,1.6,4.932255458593368
redefine,9,6,98.4,1.6,4.942680016994476
redefine,9,7,98.4,1.6,4.97968022441864
redefine,9,8,98.2,1.8,5.0095095132589345
redefine,9,9,98.4,1.6,4.980988606214523
redefine,9,10,98.4,1.6,5.038391678094864
redefine,9,11,98.2,1.8,4.973674887299538
redefine,10,0,98.4,1.6,4.937019484162331
redefine,10,1,98.4,1.6,4.945942973017693
redefine,10,2,98.4,1.6,4.959884287357331
redefine,10,3,98.4,1.6,4.951295916199684
redefine,10,4,98.4,1.6,4.927539374709129
redefine,10,5,98.4,1.6,4.916273930907249
redefine,10,6,98.4,1.6,4.941214700222015
redefine,10,7,98.4,1.6,4.929170856714249
redefine,10,8,98.2,1.8,4.9365234618186955
redefine,10,9,98.4,1.6,4.945914865851402
redefine,10,10,98.4,1.6,4.988471809267998
redefine,10,11,98.4,1.6,4.9417705610990525
redefine,11,0,98.4,1.6,4.964605887532234
redefine,11,1,98.4,1.6,4.97343901693821
redefine,11,2,98.4,1.6,4.942911089301109
redefine,11,3,98.4,1.6,4.970366341590881
redefine,11,4,98.4,1.6,4.956449936151505
redefine,11,5,98.4,1.6,4.963473070383072
redefine,11,6,98.4,1.6,4.984513254642486
redefine,11,7,98.4,1.6,4.867778002381325
redefine,11,8,98.2,1.8,4.970149209141732
redefine,11,9,98.4,1.6,4.947084018826485
redefine,11,10,98.4,1.6,4.96533239209652
redefine,11,11,98.4,1.6,4.950861880064011
define,0,0,98.2,1.8,5.0622164258956905
define,0,1,98.4,1.6,4.97101350903511
define,0,2,98.2,1.8,5.00817806494236
define,0,3,98.4,1.6,5.011402776360511
define,0,4,98.2,1.8,5.033704963684082
define,0,5,98.2,1.8,4.948474267363548
define,0,6,98.4,1.6,4.950060984373093
define,0,7,98.4,1.6,5.0086435185670855
define,0,8,98.4,1.6,5.042917061567307
define,0,9,98.4,1.6,5.0269904128313065
define,0,10,98.4,1.6,5.057175881981849
define,0,11,98.4,1.6,4.986943564414978
define,1,0,98.4,1.6,4.9656146388053894
define,1,1,98.4,1.6,4.973117180943489
define,1,2,98.4,1.6,5.043854254245758
define,1,3,98.4,1.6,5.00454497718811
define,1,4,98.4,1.6,4.973290573596954
define,1,5,98.4,1.6,5.04487996339798
define,1,6,98.4,1.6,5.024625803470611
define,1,7,98.4,1.6,4.977303264260292
define,1,8,98.4,1.6,4.993929926872253
define,1,9,98.4,1.6,5.042423449039459
define,1,10,98.4,1.6,5.037117837429046
define,1,11,98.4,1.6,5.008166436314583
define,2,0,98.2,1.8,4.939240006089211
define,2,1,98.4,1.6,4.994964081406593
define,2,2,98.4,1.6,5.029244989871978
define,2,3,98.4,1.6,4.956587885737419
define,2,4,98.4,1.6,4.981390109419823
define,2,5,98.4,1.6,5.006126286029816
define,2,6,98.2,1.8,4.988416162967682
define,2,7,98.4,1.6,4.940784147620201
define,2,8,98.4,1.6,4.986370529890061
define,2,9,98.4,1.6,5.01216010594368
define,2,10,98.4,1.6,4.9933632296323776
define,2,11,98.4,1.6,5.011491091251373
define,3,0,98.4,1.6,4.9614755163192745
define,3,1,98.4,1.6,4.951610219597817
define,3,2,98.4,1.6,4.9634307688474655
define,3,3,98.4,1.6,4.958937458276749
define,3,4,98.4,1.6,4.977499573588371
define,3,5,98.4,1.6,5.054157974720002
define,3,6,98.4,1.6,5.045402130961418
define,3,7,98.4,1.6,4.95042386341095
define,3,8,98.4,1.6,4.956666337609291
define,3,9,98.2,1.8,5.0412678014039995
define,3,10,98.4,1.6,4.987818338751793
define,3,11,98.4,1.6,5.015825216293335
define,4,0,98.4,1.6,4.97291260445118
define,4,1,98.4,1.6,4.983156444311142
define,4,2,98.4,1.6,4.965202020168304
define,4,3,98.4,1.6,4.9720769515037535
define,4,4,98.4,1.6,4.987885176181793
define,4,5,98.2,1.8,4.982005370378494
define,4,6,98.4,1.6,5.014613300442695
define,4,7,98.4,1.6,4.97388998401165
define,4,8,98.4,1.6,4.954110617756844
